model,task,input_dfy,return_code,category,explanation,module_exists,module_path,log_path,error_signature,error_lines
gpt-5.1-codex-max,Dafny_227_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_227_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_227_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_264,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_264.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_264.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_267,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_267.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_267.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_290_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_290_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_290_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_299_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_299_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_299_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_369_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_369_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_369_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_426_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_426_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_426_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_459,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_459.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_459.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_465,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_465.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_465.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_484,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_484.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_484.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_488_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_488_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_488_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_501_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_501_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_501_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_502,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_502.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_502.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_512,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_512.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_512.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_536,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_536.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_536.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_539_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_539_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_539_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_554_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_554_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_554_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_91_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_91_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_91_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_104,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_104.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_104.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_130_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_130_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_130_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_143,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_143.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_143.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_155,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_155.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_155.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_162_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_162_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_162_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_169_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_169_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_169_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_193_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_193_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_193_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_206,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_206.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_206.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_207_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_207_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_207_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_290,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_290.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_290.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_299_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_299_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_299_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_321_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_321_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_321_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_322,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_322.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_322.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_357_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_357_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_357_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_365_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_365_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_365_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_380,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_380.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_380.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_392_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_392_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_392_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_400_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_400_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_400_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_413_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_413_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_413_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_426_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_426_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_426_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_437_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_437_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_437_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_450,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_450.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_450.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_452_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_452_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_452_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_458_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_458_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_458_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_465_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_465_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_465_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_488_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_488_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_488_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_501_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_501_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_501_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_502_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_502_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_502_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_503_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_503_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_503_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_518_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_518_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_518_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_539_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_539_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_539_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.3-codex,Dafny_561_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.3-codex/Dafny_561_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.3-codex/Dafny_561_firstverified.log,NO_ERROR_TEXT_FOUND,
